 N:  Error gualeg_quad:  Error gauss_quad_improved: 
                   1         0.192765711         0.192765711
                   2        0.1909235962       0.07169465127
                   3        0.2084025136       0.04080779157
                   4        0.1483748846       0.02674522353
                   5        0.1159259266       0.01931606483
                   6       0.09223382228       0.01464315393
                   7       0.05021138838       0.01147139611
                   8       0.05772621058      0.009219591194
                   9       0.01826492562      0.007563214045
                  10       0.03871376642      0.006308366007
                  11      0.003800262738      0.005334068042
                  12       0.02787438419      0.004561876405
                  13      0.002716700596      0.003939128871
                  14       0.02131710495      0.003429379289
                  15      0.005635575441      0.003006729101
                  16       0.01711543848      0.002652347082
                  17      0.006887510414      0.002352262822
                  18       0.01428517948      0.002095927034
                  19      0.007350020116      0.001875247843
                  20       0.01229674402      0.001683930927
                  21      0.007435375262      0.001517018288
                  22       0.01084968904      0.001370560067
                  23      0.007343312254      0.001241377029
                  24      0.009765073221      0.001126886152
                  25      0.007172840622      0.001024970754
                  26      0.008931617978      0.000933882595
                  27      0.006973610203     0.0008521672597
